NomeCliente,EnderecoCompleto,ValorFatura,NumeroPaginas
Cliente Ficticio 231,"AV PRES WILSON,   174, BL PLAZA, APT 94-JOSE MENINO-SANTOS-SP -11065201 ",217.54,4
Cliente Ficticio 232,"R PAIS DE LINHARES,    48-JARDIM MARINGA-SAO PAULO-SP -03524010 ",198.22,4
Cliente Ficticio 233,"AL INGA,   262, BL A, APT 801-VILA DA SERRA-BELO HORIZONTE-MG -34000000 ",297.62,4
Cliente Ficticio 234,"R MELVIN JONES,   150, ED ERICO VERISSIMO, APT 301-CENTRO-CRICIUMA-SC -88802230 ",49.89,4
Cliente Ficticio 235,"AV MAJ DARIO ALVES DE CARVALHO,   295-VILA XAVIER (VILA XAVIER)-ARARAQUARA-SP -14810130 ",114.73,4
Cliente Ficticio 236,"R FORTUNATO,   253, APT 41-VILA BUARQUE-SAO PAULO-SP -01224030 ",381.26,4
Cliente Ficticio 237,"R PACO DO LUMIAR,   381, BL 3, APT 31-VILA SILVIA-SAO PAULO-SP -03820140 ",170.09,4
Cliente Ficticio 238,"AV AUGUSTO SEVERO,   172, CASA A-GLORIA-RIO DE JANEIRO-RJ -20021040 ",870.53,4
Cliente Ficticio 239,"R MAL DEODORO,   505, APT 91-CENTRO-ITU-SP -13300110 ",186.56,4
Cliente Ficticio 241,"AV DR WASHINGTON LUIS,   429, APT 32-RUDGE RAMOS-SAO BERNARDO DO CAMPO-SP -09618040 ",29.89,4
Cliente Ficticio 242,"R ALZIRA DE ARAUJO SOUZA,   168-ATUBA-PINHAIS-PR -83326140 ",99.74,4
Cliente Ficticio 243,"EST DO RIO GRANDE,  2034, BL 2, APT 711-TAQUARA-RIO DE JANEIRO-RJ -22720011 ",283.57,4
Cliente Ficticio 244,"R AGUAS DE LINDOIA,    82, FU-ROCHDALE-OSASCO-SP -06223160 ",105.58,4
Cliente Ficticio 245,"R ARAUJO LEITE QUADRA,1853,FD-CENTRO-BAURU-SP -17015341 ",54.39,4
Cliente Ficticio 246,"R PE BENTO LUSTOSA,    65, BL A, APT 42-CJ HAB PE M NOBREGA-SAO PAULO-SP -03590210 ",109.03,4
Cliente Ficticio 247,"R LUIZ RAZERA,1270,BL A, APT 54-NOVA AMERICA-PIRACICABA-SP -13417530 ",347.10,4
Cliente Ficticio 248,"R ESCORPIAO,   550, BL 46, APT 43-CIDADE SATELITE SANTA BARBARA-SAO PAULO-SP -08330570 ",166.01,4
Cliente Ficticio 249,"R PRES JOAO GOULART,210-JARDIM ITAQUITI-BARUERI-SP -06422010 ",103.36,4
Cliente Ficticio 250,"R PRTA EZEQUIEL,   285-JARDIM LAUDISSI-SANTA BARBARA D OESTE-SP -13458084 ",263.22,4
Cliente Ficticio 251,"R OTTO DE BARROS,   340, APT 71-VILA SANTO ESTEFANO-SAO PAULO-SP -04152050 ",75.12,4
Cliente Ficticio 252,"R PE JERONIMO VERMIN,   204, BL D, APT 47-JARDIM MARIA ESTELA-SAO PAULO-SP -04180020 ",194.23,4
Cliente Ficticio 253,"AV ANGELINA,278,FRENTE-VILA LEONOR-SAO PAULO-SP -02077000 ",192.63,4
Cliente Ficticio 254,"R PEDRO VIEIRA DA SILVA,   595, BL DEL REY BEACH, APT 52-JARDIM SANTA GENEBRA-CAMPINAS-SP -13080570 ",110.21,4
Cliente Ficticio 255,"AV GERALDO ANTONIO DA SILVA,   136-VILA BELA-TAUBATE-SP -12051660 ",186.60,4
Cliente Ficticio 256,"R ALM BALTAZAR,   194, BL 2, APT 410-SAO CRISTOVAO-RIO DE JANEIRO-RJ -20941150 ",190.46,4
Cliente Ficticio 257,"R CAP JOSE MARIA,  1008-JARDIM URANO-SAO JOSE DO RIO PRETO-SP -15084150 ",232.40,4
Cliente Ficticio 258,"R MARCONDES HOMEM DE MELO,   239-JARDIM NOSSA SENHORA DO CARMO-SAO PAULO-SP -08275030 ",347.79,4
Cliente Ficticio 259,"R DR BENEDITO TOLOSA,   750-PARQUE BRISTOL-SAO PAULO-SP -04193020 ",168.64,4
Cliente Ficticio 260,"R DA SERINGUEIRA,   180-IDEAL-NOVO HAMBURGO-RS -93334500 ",179.94,4
Cliente Ficticio 261,"R NATALINO AMARO TEIXEIRA,    85-VILA FACHINI-SAO PAULO-SP -04334000 ",260.80,4
Cliente Ficticio 262,"R BENJAMIN CONSTANT,  1354, - CORRETO, APT 401-ESCOLA AGRICOLA-BLUMENAU-SC -89037500 ",166.65,4
Cliente Ficticio 263,"R CARMEM MIRANDA,   560, APT 202-JARDIM GUANABARA-RIO DE JANEIRO-RJ -21931080 ",251.22,4
Cliente Ficticio 264,"R DOMINGOS JAHNEL,    23-JARDIM DAS TULIPAS-JUNDIAI-SP -13212732 ",106.64,4
Cliente Ficticio 265,"R PERNAMBUCANA,   250, BL 5, APT 52-CONCEICAO-OSASCO-SP -06140040 ",228.84,4
Cliente Ficticio 266,"R DOMINGOS DE ALMEIDA,  2456, APT 202-CENTRO-URUGUAIANA-RS -97501690 ",230.24,4
Cliente Ficticio 267,"R DO LEBLON,    93-JARDIM GUANABARA-AMERICANA-SP -13471370 ",285.27,4
